City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
328,mountain home,43.133,-115.6912,8.01,58,58,4.02
329,es senia,35.6478,-0.624,10.99,46,0,3.09
330,pimentel,-6.8367,-79.9342,30.16,54,0,8.23
331,pipar,26.3856,73.5378,13.31,48,74,3.63
332,deniliquin,-35.5333,144.9667,20.84,52,0,2.37
333,georgetown,5.4112,100.3354,26.96,92,20,1.54
334,harstad,68.799,16.5293,-3.8,93,98,14.31
335,uri,34.0833,74.0333,-0.83,78,3,4.73
336,beloyarskiy,63.7119,66.6722,-3.33,89,100,4.47
337,forster,-32.1667,152.5167,21.88,88,100,6.26
338,horta,38.5333,-28.6333,16.68,87,95,10.73
339,urbano santos,-3.2078,-43.4036,27.12,78,81,3.36
340,sinop,41.7711,34.8709,8.97,57,100,3.77
341,akrehamn,59.2667,5.1833,2.14,75,20,7.2
342,benoy,8.9833,16.3199,24.77,20,64,2.48
343,kapit,2.0167,112.9333,23.22,100,100,0.45
344,tan-tan,28.438,-11.1032,18.42,33,81,2.81
345,kumba,4.6363,9.4469,23.73,70,22,1.4
346,urucara,-2.5364,-57.76,28.18,69,100,1.34
347,arraial do cabo,-22.9661,-42.0278,26.98,78,20,3.09
348,ghat,24.9647,10.1728,14.7,20,0,0.94
349,ceeldheer,3.8488,47.1806,25.82,84,12,7.28
350,sanming,26.2486,117.6186,6.96,95,100,1.07
351,noumea,-22.2763,166.4572,27.99,99,100,6.59
352,ulysses,37.5814,-101.3552,13.66,71,40,8.75
353,kapsan-up,41.0903,128.2933,-16.29,93,5,0.9
354,byron bay,-28.65,153.6167,22.06,85,39,3.2
355,hagere maryam,5.6333,38.2333,18.98,46,74,4.66
356,shalqar,47.8333,59.6,-4.75,88,14,9.62
357,katabu,-4.9333,122.5167,24.69,91,100,0.93
358,kristiansund,63.1115,7.732,-4.64,68,85,2.06
359,lae,-6.7221,146.9847,25.37,91,100,4.43
360,port blair,11.6667,92.75,22.02,100,21,1.03
361,belyayevka,51.3974,56.4096,-9.88,87,97,7.81
362,pemangkat,1.1667,108.9667,24.56,92,17,2.11
363,guelmim,28.987,-10.0574,16.84,22,63,0.9
364,wanning,18.8003,110.3967,22.55,90,99,1.1
365,caluula,11.9661,50.7569,25.0,72,100,5.84
366,dubbo,-32.25,148.6167,20.07,68,100,6.69
367,wewak,-3.5534,143.6268,26.22,87,99,2.91
368,yelizovo,53.1873,158.3805,-13.92,66,20,4.0
369,atafu village,-8.5421,-172.5159,28.22,81,100,7.88
370,kalmunai,7.4167,81.8167,24.89,72,77,2.9
371,walvis bay,-22.9575,14.5053,20.53,83,100,0.51
372,coquimbo,-29.9533,-71.3436,20.85,77,40,5.14
373,al jabin,14.704,43.599,10.85,88,91,1.71
374,gondar,12.6,37.4667,16.53,45,58,1.34
375,chiredzi,-21.05,31.6667,25.96,61,3,2.44
376,carbonear,47.7332,-53.2148,-0.49,87,13,7.41
377,cidreira,-30.1811,-50.2056,23.68,84,92,6.15
378,san antonio de pale,-1.4014,5.6325,28.18,76,23,1.64
379,kanniyakumari,8.0833,77.5667,24.82,76,50,7.6
380,la gi,10.6667,107.7833,23.49,92,82,3.43
381,inhambane,-23.865,35.3833,24.94,77,1,3.46
382,la roche-sur-yon,46.6667,-1.4333,13.15,100,100,4.63
383,saint-philippe,-21.3585,55.7679,25.77,86,92,4.86
384,lazarevskoye,43.9061,39.3331,10.97,71,35,7.09
385,qamdo,31.1667,97.2333,-8.1,59,100,0.85
386,anthiyur,11.5833,77.6,21.16,65,43,1.22
387,pudozh,61.8099,36.5345,-23.92,99,59,2.24
388,port sudan,19.6175,37.2164,21.77,56,53,3.83
389,mhango,-3.2833,32.85,18.94,88,9,1.63
390,baranivka,50.2969,27.6622,2.08,92,100,6.07
391,casino,-28.8667,153.05,21.98,89,100,3.27
392,irymple,-34.25,142.1667,18.94,61,0,0.89
393,tlahualilo de zaragoza,26.1167,-103.45,31.84,4,74,7.05
394,wakema,16.6,95.1833,20.86,85,0,3.46
395,edmundston,47.3737,-68.3251,-1.37,62,0,0.51
396,mata-utu,-13.2816,-176.1745,28.26,81,100,7.04
397,bitam,2.076,11.5007,21.64,87,24,1.6
398,trenggalek,-8.05,111.7167,23.6,94,100,0.48
399,flin flon,54.7682,-101.865,-11.09,92,100,3.09
400,el calafate,-50.3408,-72.2768,11.95,55,27,9.03
401,quixada,-4.9714,-39.0153,28.81,59,98,4.78
402,nyons,44.3333,5.1667,8.01,67,51,0.98
403,nur-sultan,51.1801,71.446,-8.03,93,75,10.0
404,lompoc,34.6391,-120.4579,14.23,65,100,5.66
405,jinxiang,27.4327,120.6062,6.23,82,100,3.73
406,deqen,29.9618,90.7188,-3.89,18,0,1.89
407,fale old settlement,-9.3852,-171.2468,28.48,81,100,9.02
408,posto fiscal rolim de moura,-13.0833,-62.2667,26.36,80,89,2.14
409,saldanha,-33.0117,17.9442,19.03,84,67,4.15
410,mount isa,-20.7333,139.5,25.87,44,75,2.57
411,carnarvon,-24.8667,113.6333,25.78,61,0,1.28
412,belokurikha,51.9959,84.9896,-4.56,80,82,2.65
413,asubulaq,49.5583,83.0558,-6.72,83,100,2.42
414,tarko-sale,64.9225,77.785,-3.17,94,100,5.74
415,kutum,14.2,24.6667,14.57,21,71,2.7
416,ocean shores,46.9737,-124.1563,10.25,77,100,3.6
417,gebeit,21.0667,36.3167,14.81,57,1,1.82
418,jiwani,25.05,61.7417,21.69,39,100,1.19
419,belyy yar,53.6039,91.3903,-25.06,77,82,0.0
420,bikenibeu village,1.3673,173.1241,30.98,70,75,4.63
421,manturovo,58.3353,44.7619,-19.56,97,100,1.64
422,ust'-ilimsk,58.0006,102.6619,-10.87,97,98,1.34
423,sitka,57.0531,-135.33,2.94,70,20,0.0
424,san kamphaeng,18.7449,99.1195,21.03,62,0,0.0
425,taoudenni,22.6783,-3.9836,20.0,13,2,4.56
426,sawakin,19.1059,37.3321,22.34,59,94,3.6
427,viana do castelo,41.6932,-8.8329,14.31,91,100,8.62
428,nizhniye sergi,56.6614,59.3033,-16.65,99,100,1.05
429,aitape,-3.1374,142.3475,25.58,89,100,2.75
430,nema,57.5067,50.5011,-18.4,100,95,1.92
431,kismayo,-0.3582,42.5454,26.97,86,21,6.31
432,calama,-22.4667,-68.9333,22.54,36,94,7.97
433,joshimath,30.5667,79.5667,-0.19,50,57,4.16
434,songjiang,31.036,121.2146,2.25,76,48,2.16
435,cerritos,33.8583,-118.0648,16.55,67,75,6.69
436,hagen,51.35,7.4667,3.86,90,100,1.08
437,eilat,29.5581,34.9482,13.91,58,0,2.57
438,labuan bajo,-8.4964,119.8877,25.29,85,98,2.62
439,santa ana,33.7456,-117.8678,16.14,67,100,5.66
440,mugia,43.1041,-9.2179,17.17,86,100,14.46
441,gereida,11.2811,25.1414,19.37,20,43,4.29
442,usinsk,65.9939,57.5281,-13.29,92,100,4.47
443,sanctuary point,-35.1114,150.629,22.64,57,100,3.83
444,san juan bautista,-14.0108,-75.7358,28.91,54,54,6.29
445,toliara,-23.35,43.6667,25.22,84,12,1.69
446,santana do mundau,-9.1681,-36.2222,25.78,72,57,4.9
447,pisco,-13.7,-76.2167,28.03,69,0,8.23
448,luena,-11.7833,19.9167,18.62,84,91,2.19
449,kerikeri,-35.2268,173.9474,23.84,77,4,1.59
450,fisterra,42.9049,-9.2629,17.08,87,100,14.23
451,belmonte,-15.8631,-38.8828,26.22,83,87,2.81
452,natal,-5.795,-35.2094,28.36,78,20,3.09
453,minas de marcona,-15.2119,-75.1103,21.0,86,87,5.43
454,payson,40.0444,-111.7321,3.03,91,100,7.72
455,mao,39.8885,4.2658,9.31,100,2,2.06
456,sabang,5.8933,95.3214,27.43,80,19,4.04
457,namibe,-15.1961,12.1522,25.61,78,76,3.72
